GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Football Manager,com.footballmanager.infrastructure.persistence,PlayerEntity,614,0,74,0,39,0,75,0,38,0
Football Manager,com.footballmanager.infrastructure.persistence,UserEntity,380,0,62,0,21,0,53,0,22,0
Football Manager,com.footballmanager.infrastructure.persistence,LeagueEntity.LeagueEntityBuilder,57,0,0,0,1,0,8,0,8,0
Football Manager,com.footballmanager.infrastructure.persistence,UserRepositoryAdapter,53,0,0,0,11,0,8,0,8,0
Football Manager,com.footballmanager.infrastructure.persistence,MatchEntity.MatchEntityBuilder,132,0,0,0,1,0,16,0,16,0
Football Manager,com.footballmanager.infrastructure.persistence,LeagueEntity,295,0,46,0,18,0,42,0,19,0
Football Manager,com.footballmanager.infrastructure.persistence,TeamRepositoryAdapter,67,0,0,0,12,0,10,0,10,0
Football Manager,com.footballmanager.infrastructure.persistence,MatchRepositoryAdapter,55,0,0,0,14,0,8,0,8,0
Football Manager,com.footballmanager.infrastructure.persistence,PlayerRepositoryAdapter,53,0,0,0,12,0,8,0,8,0
Football Manager,com.footballmanager.infrastructure.persistence,TeamEntity,432,0,70,0,24,0,59,0,24,0
Football Manager,com.footballmanager.infrastructure.persistence,MatchEntity,746,0,124,0,49,0,97,0,35,0
Football Manager,com.footballmanager.infrastructure.persistence,LeagueRepositoryAdapter,48,0,0,0,12,0,7,0,7,0
Football Manager,com.footballmanager.application.dto,LoginRequest,9,0,0,0,1,0,1,0,1,0
Football Manager,com.footballmanager.application.dto,RegisterUserRequest,12,0,0,0,1,0,1,0,1,0
Football Manager,com.footballmanager.application.dto,JwtTokenResponse,15,0,0,0,1,0,1,0,1,0
Football Manager,com.footballmanager.domain.model,TeamId,29,35,2,4,5,8,7,4,5,3
Football Manager,com.footballmanager.domain.model,PlayerAttributes,162,81,20,2,14,18,20,4,9,4
Football Manager,com.footballmanager.domain.model,League,217,0,20,0,40,0,26,0,16,0
Football Manager,com.footballmanager.domain.model,Player,70,189,7,11,6,45,11,20,4,18
Football Manager,com.footballmanager.domain.model,MatchResult,237,115,37,9,21,32,30,13,7,13
Football Manager,com.footballmanager.domain.model,Team,111,205,13,15,15,46,18,19,8,15
Football Manager,com.footballmanager.domain.model,MatchEvent,99,53,16,2,9,14,12,7,3,7
Football Manager,com.footballmanager.domain.model,Formation,37,62,4,0,6,12,7,3,5,3
Football Manager,com.footballmanager.domain.model,User.UserRole,15,0,0,0,2,0,1,0,1,0
Football Manager,com.footballmanager.domain.model,MatchId,45,19,5,1,8,5,8,3,5,3
Football Manager,com.footballmanager.domain.model,Transfer,275,0,30,0,57,0,37,0,22,0
Football Manager,com.footballmanager.domain.model,Player.Position,0,75,0,0,0,2,0,1,0,1
Football Manager,com.footballmanager.domain.model,PlayerId,36,28,5,1,7,6,7,4,4,4
Football Manager,com.footballmanager.domain.model,User,234,0,28,0,43,0,32,0,18,0
Football Manager,com.footballmanager.domain.model,Match.MatchStatus,0,21,0,0,0,2,0,1,0,1
Football Manager,com.footballmanager.domain.model,LeagueId,64,0,6,0,13,0,11,0,8,0
Football Manager,com.footballmanager.domain.model,MatchEvent.EventType,0,27,0,0,0,2,0,1,0,1
Football Manager,com.footballmanager.domain.model,Transfer.TransferStatus,33,0,0,0,2,0,1,0,1,0
Football Manager,com.footballmanager.domain.model,UserId,45,19,5,1,8,5,8,3,5,3
Football Manager,com.footballmanager.domain.model,Match,106,133,13,11,13,33,17,15,9,11
Football Manager,com.footballmanager.application.service,AuthService,132,0,0,0,23,0,9,0,9,0
Football Manager,com.footballmanager.application.service,TeamService,116,0,0,0,22,0,12,0,12,0
Football Manager,com.footballmanager.application.service,MatchEngineImpl,18,322,5,15,1,44,4,15,0,9
Football Manager,com.footballmanager.adapters.in.web,TeamController.PlayerDTO,27,0,0,0,1,0,1,0,1,0
Football Manager,com.footballmanager.adapters.in.web,MatchController.CreateMatchRequest,12,0,0,0,1,0,1,0,1,0
Football Manager,com.footballmanager.adapters.in.web,MatchController,87,0,0,0,22,0,6,0,6,0
Football Manager,com.footballmanager.adapters.in.web,TeamController.TeamDTO,30,0,0,0,1,0,1,0,1,0
Football Manager,com.footballmanager.adapters.in.web,TeamController,173,0,0,0,46,0,15,0,15,0
Football Manager,com.footballmanager.adapters.in.web,TeamController.CreateTeamRequest,12,0,0,0,1,0,1,0,1,0
Football Manager,com.footballmanager.adapters.in.web,MatchController.MatchDTO,27,0,0,0,1,0,1,0,1,0
Football Manager,com.footballmanager.adapters.in.web,AuthController,37,0,0,0,7,0,6,0,6,0
Football Manager,com.footballmanager,FootballManagerApplication,8,0,0,0,3,0,2,0,2,0
Football Manager,com.footballmanager.infrastructure.security,JwtTokenProvider,99,0,0,0,36,0,8,0,8,0
Football Manager,com.footballmanager.infrastructure.security,SecurityConfig,108,0,6,0,24,0,13,0,10,0
